docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
dul1.ark+=13960=t50g4f66g,1863,1863,1863,,fic,,,,"Lytton, Edward Bulwer Lytton,",A strange story
uc2.ark+=13960=t80k29g9z,1867,1867,1867,,fic,,,,"Mühlbach, L.",Louisa of Prussia and her times
uc2.ark+=13960=t4rj4g518,1867,1867,1867,,fic,,,,"Jerrold, Douglas William,",The story of a feather
uc2.ark+=13960=t56d5rq50,1867,1867,1867,,fic,,,,"Ferguson, Samuel,",Father Tom and the Pope
yale.39002005758546,1866,1866,1866,,fic,,,,"Estabrooks, Henry L.",Adrift in Dixie;
nc01.ark+=13960=t9f48335q,1868,1868,1868,,fic,,,,"Dickinson, Anna E.",What answer?
uc2.ark+=13960=t57d2qw7z,1868,1868,1868,,fic,,,,,"The Canterbury bells; or, Scenes in the Belmont family"
uiuo.ark+=13960=t88g97d1g,1873,1873,1873,,fic,v.2,,,"Reid, Mayne,",The death shot
mdp.39015078559484,1870,1870,1870,,fic,,,,"Defoe, Daniel,",Aventures de Robinson Crusoe
uc2.ark+=13960=t54f1n16g,1870,1870,1870,,fic,,,,"Brewster, Anne Maria Hampton,","Compensation; or, Always a future"
nyp.33433082302898,1870,1870,1870,,fic,,,,"Follen, Eliza Lee Cabot,",True stories about dogs & cats
uc1.b3549864,1874,1874,1874,,fic,v.8,,,"Dickens, Charles,",The works of Charles Dickens
uc2.ark+=13960=t9b56ph68,1873,1873,1873,,fic,,,,"Jones, C. A.",The life of S. Elizabeth of Hungary
uc1.b3327247,1877,1877,1877,,fic,v. 23,,,"Wood, Henry,",Mrs. Wood's novels
uc2.ark+=13960=t8df6p47x,1876,1876,1876,,fic,,,,"Auerbach, Berthold,",On the heights;
uc1.b4104315,1878,1878,1878,,fic,,,,,Ponce de Leon
uc1.b111911,1876,1876,1876,,fic,,,,"Egan, Pierce,","The poor girl; or, The marchioness and her secret"
